"lang" 
{ 
"Language" "greek" 
"Tokens" 
{ 
"GameUI_ReverseMouse" 		"Αντιστροφή ποντικιού"
"GameUI_RefreshLogin_RememberPassword"	"Αποθήκευση συνθηματικού"
"GameUI_Login_ErrorTitle"		"Ανανέωση σύνδεσης – Σφάλμα"
"GameUI_ErrorLoginFailed"		"Η σύνδεση απέτυχε. Δοκιμάστε ξανά."

"LoadingProgress_SpawningServer"	"Εκκίνηση τοπικού διακομιστή…"
"LoadingProgress_LoadMap"		"Φόρτωση κόσμου…"
"LoadingProgress_PrecacheWorld"		"Αρχικοποίηση κόσμου…"
"LoadingProgress_LoadResources"		"Φόρτωση πόρων…"
"LoadingProgress_SignonLocal"		"Αρχικοποίηση πόρων…"
"LoadingProgress_SignonDataLocal"	"Αρχικοποίηση δεδομένων παιχνιδιού…"

"LoadingProgress_BeginConnect"		"Πραγματοποίηση σύνδεσης στον διακομιστή…"
"LoadingProgress_Connecting"		"Σύνδεση στον διακομιστή…"
"LoadingProgress_ProcessServerInfo"	"Ανάκτηση πληροφοριών διακομιστή…"
"LoadingProgress_SendClientInfo"	"Αποστολή πληροφοριών χρήστη…"
"LoadingProgress_SignonData"		"Ανάκτηση δεδομένων παιχνιδιού…"
"LoadingProgress_Changelevel"		"Ο διακομιστής αλλάζει επίπεδο…"

"GameUI_Difficulty"			"Δυσκολία"
"GameUI_SkillEasy"			"Χαμηλή"
"GameUI_SkillNormal"			"Μέτρια"
"GameUI_SkillHard"			"Υψηλή"
"GameUI_SelectDifficulty"		"Δυσκολία μάχης:"

"GameUI_Portal"				"Πύλες"
"GameUI_PortalDepthLabel"		"Βάθος πύλης"
"GameUI_PortalDepth0"			"0"
"GameUI_PortalDepth1"			"1"
"GameUI_PortalDepth2"			"2 (προτεινόμενο)"
"GameUI_PortalDepth3"			"3"
"GameUI_PortalDepth4"			"4"
"GameUI_PortalDepth5"			"5"
"GameUI_PortalDepth6"			"6"
"GameUI_PortalDepth7"			"7"
"GameUI_PortalDepth8"			"8"
"GameUI_PortalDepth9"			"9"
"GameUI_PortalFunnel"			"Βοήθεια πυλών"
"GameUI_PortalFunnelLabel"		"Ο υπολογιστής σάς βοηθάει να σημαδέψετε σε πύλες στο πάτωμα"

"GameUI_CrosshairDescription"	"Εμφάνιση στόχαστρου"
"GameUI_Auto"			"Αυτόματο"
"GameUI_Small"			"Μικρό"
"GameUI_Large"			"Μεγάλο"
"GameUI_Translucent"		"Διαφανές"

"GameUI_CrosshairRed"	"Κόκκινο"
"GameUI_CrosshairGreen"	"Πράσινο"
"GameUI_CrosshairBlue"	"Μπλε"
"GameUI_CrosshairScale"	"Μέγεθος"

"GameUI_FastSwitchCheck"		"Γρήγορη εναλλαγή όπλων"
"GameUI_DeveloperConsoleCheck"		"Ενεργοποίηση κονσόλας"
"GameUI_KeyboardAdvanced_Title"		"ΠΛΗΚΤΡΟΛΟΓΙΟ – ΣΥΝΘΕΤΕΣ"

// temp restart strings
"GameUI_OptionsRestartRequired_Title"	"ΕΠΙΛΟΓΕΣ – ΕΠΑΝΕΚΚΙΝΗΣΗ"
"GameUI_OptionsRestartRequired_Info" 	"Οι αλλαγές που πραγματοποιήσατε απαιτούν επανεκκίνηση του παιχνιδιού.\nΘέλετε να γίνει επανεκκίνηση τώρα;"
"GameUI_OptionsRestart_OKButton"	"Επανεκκίνηση τώρα"
"GameUI_OptionsRestart_CancelButton"	"Επανεκκίνηση αργότερα"

"GameUI_VideoAdvanced_Title"		"ΓΡΑΦΙΚΑ – ΣΥΝΘΕΤΕΣ"

"GameUI_HudQuickInfo"			"Συνοπτικές πληροφορίες"
"GameUI_HudQuickInfo_Info"		"Εμφάνιση ζωής και πυρομαχικών στο στόχαστρο"

"GameUI_NoBonusMapsToDisplay"		"Δεν υπάρχουν επιπλέον χάρτες σε αυτόν τον κατάλογο."
"GameUI_NoSaveGamesToDisplay"		"Δεν υπάρχουν αποθηκευμένα παιχνίδια προς εμφάνιση."
"GameUI_SaveGame_CorruptFile"		"Αυτά τα αρχεία είναι κατεστραμμένα\nκαι δεν είναι δυνατή η φόρτωσή τους."


"GameUI_EasyDescription"	"Είναι εύκολο να νικήσετε τους εχθρούς και ο υπολογιστής σάς βοηθάει να σημαδέψετε."
"GameUI_NormalDescription"	"Οι εχθροί είναι αξιόμαχοι και τα όπλα σας προκαλούν κανονική ζημιά."
"GameUI_HardDescription"	"Οι εχθροί είναι πολύ δύσκολοι και τα όπλα σας είναι λιγότερο αποτελεσματικά."

"GameUI_CloseCaptions_Checkbox"	"Εμφάνιση υποτίτλων"

"GameUI_TestSpeakerSettings"	"Έλεγχος ηχείων"
"GameUI_TestSpeakerSettingsWarning"	"Ο έλεγχος των ρυθμίσεων ηχείων θα σας αποσυνδέσει από το τρέχον παιχνίδι"

"GameUI_Enabled"		"Ενεργό"
"GameUI_Disabled"		"Ανενεργό"

"gameui_noreflections"		"Απλές αντανακλάσεις"
"gameui_reflectonlyworld"	"Αντανάκλαση κόσμου"
"gameui_reflectall"		"Αντανάκλαση όλων"

"GameUI_ReportBug"		"ΑΝΑΦΟΡΑ ΣΦΑΛΜΑΤΟΣ"
"GameUI_Bug_Successful"		"Το σφάλμα υποβλήθηκε επιτυχώς!"
"GameUI_Bug_Submitting"		"Υποβολή σφάλματος…"
"GameUI_Bug_TakeScreenshot"	"Λήψη φωτογραφίας"
"GameUI_Bug_AttachSavedGame"	"Αρχείο αποθήκευσης"
"GameUI_Bug_ClearForm"		"Εκκαθάριση"
"GameUI_Bug_Title"		"Τίτλος:"
"GameUI_Bug_Description"	"Περιγραφή:"
"GameUI_Bug_Position"		"Τοποθεσία:"
"GameUI_Bug_Map"		"Χάρτης:"
"GameUI_Bug_Orientation"	"Προσανατολισμός:"
"GameUI_Bug_ReportType"		"Τύπος αναφοράς:"
"GameUI_Bug_EmailAddress"	"Διεύθυνση email:"
"GameUI_Bug_PrivacyPolicy"	"Πολιτική απορρήτου της Valve"
"GameUI_Bug_Optional"		"(προαιρετικό)"
"GameUI_Bug_AccountName"	"Λογαριασμός:"
"GameUI_Bug_EngineBuild"	"ΕΚΔΟΣΗ SOURCE:"
"GameUI_Bug_Submit"		"Υποβολή"
"GameUI_Bug_ClearFiles"		"Εκκαθάριση αρχείων"
"GameUI_Bug_BSP_File"		"Αρχείο .bsp"
"GameUI_Bug_VMF_File"		"Aρχείο .vmf"
"GameUI_Bug_Include_BSP"	"Συμπερίληψη .bsp"
"GameUI_Bug_Include_VMF"	"Συμπερίληψη .vmf"
"GameUI_Bug_IncludeFile"	"Συμπερίληψη αρχείου…"

"GameUI_DX_Level"		"Επίπεδο υλικού DirectX:"
"GameUI_DX_Installed"		"Επίπεδο λογισμικού DirectX:"
"GameUI_Model_Detail"		"Λεπτομέρεια μοντέλων"
"GameUI_Texture_Detail"		"Λεπτομέρεια υφών"
"GameUI_Antialiasing_Mode"	"ΛΕΙΤΟΥΡΓΙΑ ΕΞΟΜΑΛΥΝΣΗΣ"
"GameUI_Filtering_Mode"		"Τύπος φίλτρου"
"GameUI_Water_Detail"		"Λεπτομέρεια νερού"
"GameUI_Shadow_Detail"		"Λεπτομέρεια σκιών"
"GameUI_Wait_For_VSync"		"Αναμονή για κάθετο συγχρονισμό"
"GameUI_Shader_Detail"		"Ποιότητα σκίασης"
"GameUI_Color_Correction"	"Διόρθωση χρώματος"

"GameUI_NoOptionsYet"		"< χωρίς επιλογές ακόμα >"
"GameUI_None"			"Καθόλου"
"GameUI_CrosshairNone"				"Κανένα"
"GameUI_Bilinear"		"Bilinear"
"GameUI_Trilinear"		"Trilinear"
"GameUI_Anisotropic2X"		"Anisotropic 2x"
"GameUI_Anisotropic4X"		"Anisotropic 4x"
"GameUI_Anisotropic8X"		"Anisotropic 8x"
"GameUI_Anisotropic16X"		"Anisotropic 16x"

"GameUI_2X"			"2x MSAA"
"GameUI_4X"			"4x MSAA"
"GameUI_6X"			"6x MSAA"
"GameUI_8X"			"8x MSAA"

"GameUI_8X_CSAA"	"8x CSAA"
"GameUI_16X_CSAA"	"16x CSAA"
"GameUI_16XQ_CSAA"	"16xQ CSAA"

"GameUI_D3D9Ex"			"Επεκτάσεις Windows Aero:"
"GameUI_D3D9ExRelaunchMsg"	"Αυτή η ρύθμιση δεν θα εφαρμοστεί μέχρι να επανεκκινήσετε το παιχνίδι."

"GameUI_RecommendedSettings"	"* Προτεινόμενη ρύθμιση για το σύστημά σας"

"GameUI_Bloom"			"Χρήση εφέ «διάχυσης φωτός» αν είναι διαθέσιμο"
"GameUI_HDR"			"Δυναμική φωτοσκίαση"
"GameUI_hdr_level0"		"Καθόλου"
"GameUI_hdr_level1"		"Διάχυση φωτός (αν είναι διαθέσιμη)"
"GameUI_hdr_level2"		"Πλήρης (αν είναι διαθέσιμη)"
"GameUI_hdr_level3"		"Εκτεταμένη (αν είναι διαθέσιμη)"
"GameUI_HDR_NoteAboutMaps"	"(Τα εφέ δυναμικής φωτοσκίασης εμφανίζονται μόνο σε χάρτες HDR)"
"GameUI_MotionBlur"			"Θόλωση κίνησης"

"GameUI_LaunchBenchmark"	"ΕΛΕΓΧΟΣ ΓΡΑΦΙΚΩΝ"
"GameUI_LaunchBenchmarkVideoPanel"	"Εκκίνηση ελέγχου…"
"GameUI_StartBenchmark"		"Εκκίνηση ελέγχου γραφικών"
"GameUI_LaunchBenchmark_Title"	"ΕΛΕΓΧΟΣ ΥΛΙΚΟΥ ΓΡΑΦΙΚΩΝ"

"GameUI_LaunchBenchmark_Info"	"Αυτός ο έλεγχος θα μετρήσει τον ρυθμό ανανέωσης οθόνης καθώς θα λειτουργεί η μηχανή Source. Στο τέλος του ελέγχου, θα μπορείτε να στείλετε τα αποτελέσματα στη Valve. \nΑργότερα, θα υπάρχει διαθέσιμη ιστοσελίδα με τα ολοκληρωμένα αποτελέσματα."

"GameUI_BenchmarkResults_Title"	"ΑΠΟΤΕΛΕΣΜΑΤΑ ΕΛΕΓΧΟΥ"
"GameUI_BenchmarkResults_Info"  "Ο μέσος ρυθμός ανανέωσης οθόνης ήταν %framerate% fps. Επιλέγοντας να μεταφορτώσετε τα δεδομένα αυτά, αποστέλλετε πληροφορίες για τον τύπο και ταχύτητα του επεξεργαστή σας, το μέγεθος της μνήμης σας και της κάρτας γραφικών σας."
"GameUI_BenchmarkResults_UploadNow"	"Αποστολή αποτελεσμάτων στη Valve"

"GameUI_AdjustGamma"		"Προσαρμογή φωτεινότητας…"
"GameUI_AdjustGamma_Title"	"ΠΡΟΣΑΡΜΟΓΗ ΦΩΤΕΙΝΟΤΗΤΑΣ"

"GameUI_DisplayMode"		"Τύπος οθόνης"
"GameUI_DisplayTV"		"Τηλεόραση"
"GameUI_DisplayMonitor"		"Οθόνη υπολογιστή"

"GameUI_TestSpeakersWarning_Title"	"Έλεγχος ρυθμίσεων ηχείων"
"GameUI_TestSpeakersWarning_Info"	"Ο έλεγχος των ρυθμίσεων ηχείων θα προκαλέσει αποσύνδεση από το τρέχον παιχνίδι."
"GameUI_TestSpeakersWarning_OkButton"	"Εκκίνηση ελέγχου"
"GameUI_TestSpeakersWarning_CancelButton"	"Ακύρωση"

"GameUI_GammaInfo"		"Προσαρμόστε το ρυθμιστικό μέχρι και οι τρεις γραμμές του παρακάτω κειμένου να είναι ορατές."

"GameUI_SaveAndQuitQuery_Info"	"Θέλετε να αποθηκεύσετε το τρέχον παιχνίδι πριν την έξοδο;"
"GameUI_SaveAndQuit"		"Aποθήκευση"
"GameUI_DontSaveAndQuit"	"Χωρίς αποθήκευση"

"GameUI_Captioning"	"Υπότιτλοι"
"GameUI_NoClosedCaptions"	"Χωρίς υπότιτλους"
"GameUI_Subtitles"	"Διάλογος μόνο"	[$WIN32]
"GameUI_Subtitles"	"Υπότιτλοι"			[$X360]
"GameUI_SubtitlesAndSoundEffects"	"Κλειστές λεζάντες"

"GameUI_Paused" "ΣΕ ΠΑΥΣΗ"
"GameUI_PausedTimer" "ΣΕ ΠΑΥΣΗ – %s1"

// spray importer strings.
"GameUI_Spray_Import_Error_Title"	"Σφάλμα εισαγωγής σπρέι"
"GameUI_Spray_Import_Error_Reading_Image"	"Σφάλμα κατά την ανάγνωση εικόνας. Το αρχείο εικόνας ίσως είναι κατεστραμμένο ή έχει λάθος τύπο"
"GameUI_Spray_Import_Image_Wrong_Size"	"Η εικόνα δεν έχει το σωστό μέγεθος. Έγκυρες τιμές ύψους και πλάτους σε pixel είναι 256, 128, 64, 32, 16, 8, 4, 2 και 1."
"GameUI_Spray_Import_Error_Memory"	"Αποτυχία απελευθέρωσης αρκετής μνήμης για μετατροπή. Το αρχείο εικόνας ίσως είναι κατεστραμμένο."
"GameUI_Spray_Import_Error_Image_File_Corrupt"	"Το αρχείο της εικόνας είναι κατεστραμμένο."
"GameUI_Spray_Import_Error_BMP_Format_Not_Supported"	"Ο τύπος BMP αυτού του αρχείου δεν υποστηρίζεται. Οι υποστηριζόμενοι τύποι BMP είναι 24-bit RGB και 32-bit RGBA."
"GameUI_Spray_Import_Error_TGA_Format_Not_Supported"	"Ο τύπος TGA αυτού του αρχείου δεν υποστηρίζεται. Οι υποστηριζόμενοι τύποι TGA είναι 24-bit RGB και 32-bit RGBA."
"GameUI_Spray_Import_Error_Writing_Temp_Output"	"Σφάλμα δημιουργίας προσωρινού αρχείου."
"GameUI_Spray_Import_Error_Cant_Load_VTEX_DLL"	"Αδυναμία φόρτωσης vtex.dll. Επανεκκινήστε το Steam για να λάβετε τις νεότερες ενημερώσεις."
"GameUI_Spray_Import_Error_Writing_Output"	"Αδυναμία εγγραφής του αρχείου σπρέι. Ίσως ο τρέχων χρήστης δεν έχει άδεια."
"GameUI_ImportSprayEllipsis"	"ΕΙΣΑΓΩΓΗ ΣΠΡΕΙ…"
"GameUI_ImportSprayImage"	"Εισαγωγή εικόνας σπρέι"
"GameUI_All_Images"		"Όλες οι εικόνες (*.jpg,*.bmp,*.tga,*.vtf)"
"GameUI_All_ImagesNoBmp"		"Όλες οι εικόνες (*.jpg,*.tga,*.vtf)"
"GameUI_JPEG_Images"		"Εικόνες JPEG (*.jpg)"
"GameUI_TGA_Images"		"Εικόνες Targa (*.tga)"
"GameUI_BMP_Images"		"Εικόνες Bitmap (*.bmp)"
"GameUI_VTF_Images"		"Εικόνες VTF (*.vtf)"

// bonus map importer strings
"GameUI_ImportBonusMapsEllipsis"	"Εισαγωγή επιπλέον χαρτών…"
"GameUI_ImportBonusMaps"		"Εισαγωγή επιπλέον χαρτών"
"GameUI_BMZ_Files"			"Αρχεία zip επιπλέον χαρτών (*.bmz)"

"GameUI_SettingRequiresDisconnect_Title"	"ΕΠΙΛΟΓΕΣ – ΠΡΟΕΙΔΟΠΟΙΗΣΗ"
"GameUI_SettingRequiresDisconnect_Info"		"Η αλλαγή αυτής της ρύθμισης θα σας αποσυνδέσει από το τρέχον παιχνίδι."
"GameUI_SettingChangeFromX360Dashboard_Title"	"ΕΠΙΛΟΓΕΣ"
"GameUI_SettingChangeFromX360Dashboard_Info"	"Αυτή η ρύθμιση μπορεί να αλλάξει μόνο από το Xbox 360 Dashboard."

"GameUI_Dlg_CheckingStorageDevice"			"Έλεγχος συσκευής αποθήκευσης…"

"GameUI_Chapter"		"ΚΕΦΑΛΑΙΟ"

"VAC_LoggedInElsewhere_Title"		"Ο λογαριασμός χρησιμοποιείται αλλού"
"VAC_LoggedInElsewhereReason"		"Αυτός ο λογαριασμός Steam έχει χρησιμοποιηθεί για σύνδεση από άλλον υπολογιστή. Για να συνεχίσετε να χρησιμοποιείτε το Steam, θα χρειαστεί να συνδεθείτε ξανά."

"GAMEUI_Commentary"			"Σχολιασμός"
"GAMEUI_Commentary_On"			"Ενεργός (όπου είναι διαθέσιμος)"
"GAMEUI_Commentary_Off"			"Ανενεργός"
"GAMEUI_CommentaryDialogTitle"		"ΣΧΟΛΙΑΣΜΟΣ"
"GAMEUI_Commentary_LabelOn"		"Ο ΣΧΟΛΙΑΣΜΟΣ ΕΙΝΑΙ ΤΩΡΑ: ΕΝΕΡΓΟΣ"
"GAMEUI_Commentary_LeaveOn"		"Σχολιασμός ΕΝΕΡΓΟΣ"
"GAMEUI_Commentary_TurnOff"		"ΑΠΕΝΕΡΓΟΠΟΙΗΣΗ σχολιασμού"
"GAMEUI_Commentary_LabelOff"		"Ο ΣΧΟΛΙΑΣΜΟΣ ΕΙΝΑΙ ΤΩΡΑ: ΑΝΕΝΕΡΓΟΣ"
"GAMEUI_Commentary_TurnOn"		"ΕΝΕΡΓΟΠΟΙΗΣΗ σχολιασμού"
"GAMEUI_Commentary_LeaveOff"		"ΑΝΕΝΕΡΓΟΣ σχολιασμός"
"GAMEUI_PostCommentary_ModeLabelOn"	"Ο ΣΧΟΛΙΑΣΜΟΣ ΕΙΝΑΙ: ΕΝΕΡΓΟΣ"
"GAMEUI_PostCommentary_ModeLabelOff"	"Ο ΣΧΟΛΙΑΣΜΟΣ ΕΙΝΑΙ: ΑΝΕΝΕΡΓΟΣ"
"GAMEUI_PostCommentary_options"		"(Για την ενεργοποίηση ή απενεργοποίηση του σχολιασμού, επισκεφθείτε τις «επιλογές» στο κύριο μενού.)"
"GAMEUI_LostCoastHasCommentary"		"Το Half-Life 2: Lost Coast περιλαμβάνει ηχητικό σχολιασμό από μέλη της ομάδας παραγωγής της Valve."
"GAMEUI_Commentary_WhatIs"		"Η λειτουργία σχολιασμού δίνει πρόσβαση σε κόμβους πληροφοριών, που περιέχουν ηχητικό σχολιασμό από μέλη της ομάδας παραγωγής της Valve."
"GAMEUI_Commentary_HowToUse"		"Για να εκκινήσετε ή να σταματήσετε ένα κόμβο σχολιασμού, σημαδέψτε το στόχαστρο σε οποιοδήποτε εικονίδιο μπαλονιού και έπειτα πατήστε το κουμπί ΧΡΗΣΗΣ σας."
"GAMEUI_Commentary_HowToUse_Attack"	"Για να εκκινήσετε ή να σταματήσετε ένα κόμβο σχολιασμού, σημαδέψτε το στόχαστρο σε οποιοδήποτε εικονίδιο μπαλονιού και έπειτα πατήστε το πλήκτρο κύριας επίθεσης σας."
"GAMEUI_COMMENTARY_GOD"			"(Ενώ παίζετε το παιχνίδι σε λειτουργία σχολιασμού, θα είστε άτρωτοι και δεν θα μπορείτε να ξεκλειδώσετε επιτεύγματα.)"
"GAMEUI_Commentary_Console_Explanation"	"Οι «κόμβοι σχολιασμού» περιέχουν ηχητικό σχολιασμό από την ομάδα παραγωγής της Valve.\n\nΓια να εκκινήσετε ή να σταματήσετε έναν κόμβο, σημαδέψτε σε οποιοδήποτε εικονίδιο μπαλονιού και πατήστε το κουμπί ΧΡΗΣΗ.\n\n(Θα είστε άτρωτοι καθώς ακούτε τον σχολιασμό. Δεν θα μπορείτε να ξεκλειδώνετε επιτεύγματα στη λειτουργία σχολιασμού.)"
"GAMEUI_AudioSpokenLanguage"				"Ήχος (ομιλία)"
"GameUI_ThirdPartyTechCredits"				"Συντελεστές τεχνολογίας τρίτων"
"GameUI_ThirdPartyAudio_Title"				"ΤΕΧΝΟΛΟΓΙΑ ΗΧΟΥ ΤΡΙΤΩΝ"
"GameUI_ThirdPartyVideo_Title"				"ΤΕΧΝΟΛΟΓΙΑ ΓΡΑΦΙΚΩΝ ΤΡΙΤΩΝ"
"GAMEUI_RequiresRestart"					"(Απαιτεί επανεκκίνηση)"
"GameUI_ChangeLanguageRestart_OkButton"		"Επανεκκίνηση τώρα"
"GameUI_ChangeLanguageRestart_CancelButton"	"ΑΚΥΡΩΣΗ"
"GameUI_ChangeLanguageRestart_Title"		"ΑΛΛΑΓΗ ΓΛΩΣΣΑΣ ΟΜΙΛΙΑΣ"
"GameUI_ChangeLanguageRestart_Info"			"Πρέπει να γίνει επανεκκίνηση του παιχνιδιού για να αλλάξει η γλώσσα ομιλίας.\n\nΘέλετε να γίνει επανεκκίνηση τώρα;"

"GameUI64_64BitNotice"				"Λειτουργία 64-bit ενεργή"

"GameUI_LoadCommentary"			"ΣΧΟΛΙΑΣΜΟΣ ΠΑΡΑΓΩΓΩΝ"
"GameUI_LoadCommentaryHelp"		"Επιλέξτε ένα ηχητικό σχολιασμού στην παρακάτω λίστα και πατήστε «Φόρτωση»."
"GameUI_NoCommentaryItemsToDisplay"	"Δεν υπάρχουν διαθέσιμα ηχητικά σχολιασμού."
"GameUI_CommentaryUnlock"		"Ολοκληρώστε ένα κεφάλαιο για να ξεκλειδώσετε τον σχολιασμό του."

// Xbox 360
"GameUI_A_BUTTON"		"Κουμπί A"
"GameUI_B_BUTTON"		"Κουμπί B"
"GameUI_X_BUTTON"		"Κουμπί X"
"GameUI_Y_BUTTON"		"Κουμπί Y"
"GameUI_L_TRIGGER"		"Αριστερή σκανδάλη"
"GameUI_R_TRIGGER"		"Δεξιά σκανδάλη"
"GameUI_L_SHOULDER"		"Αριστερό μπροστινό κουμπί"
"GameUI_R_SHOULDER"		"Δεξί μπροστινό κουμπί"

"GameUI_Icons_UP"		"Π"
"GameUI_Icons_DOWN"		"Κ"
"GameUI_Icons_LEFT"		"Α"
"GameUI_Icons_RIGHT"		"Δ"
"GameUI_Icons_DPAD"		"C"
"GameUI_Icons_START"		"5"
"GameUI_Icons_BACK"		"4"
"GameUI_Icons_STICK1"		"6"
"GameUI_Icons_STICK2"		"7"
"GameUI_Icons_S1_UP"		"6"
"GameUI_Icons_S2_UP"		"7"
"GameUI_Icons_LSTICK"		"6"
"GameUI_Icons_RSTICK"		"7"
"GameUI_Icons_A_BUTTON"		"A"
"GameUI_Icons_B_BUTTON"		"B"
"GameUI_Icons_X_BUTTON"		"X"
"GameUI_Icons_Y_BUTTON"		"Y"
"GameUI_Icons_L_SHOULDER"	"2"
"GameUI_Icons_R_SHOULDER"	"3"
"GameUI_Icons_L_TRIGGER"	"0"
"GameUI_Icons_R_TRIGGER"	"1"
"GameUI_Icons_LEFTCURSOR"	"8"
"GameUI_Icons_RIGHTCURSOR"	"9"
"GameUI_Icons_UPCURSOR"		"<"
"GameUI_Icons_DOWNCURSOR"	">"
"GameUI_Icons_NONE"		"< δεν έχει οριστεί >"

"GameUI_KeyNames_UP"		"Πάνω σταυρός κατεύθυνσης"
"GameUI_KeyNames_DOWN"		"Κάτω σταυρός κατεύθυνσης"
"GameUI_KeyNames_LEFT"		"Αριστερός σταυρός κατεύθυνσης"
"GameUI_KeyNames_RIGHT"		"Δεξιός σταυρός κατεύθυνσης"
"GameUI_KeyNames_START"		"Κουμπί START"
"GameUI_KeyNames_BACK"		"Κουμπί BACK"
"GameUI_KeyNames_STICK1"	"κουμπί αριστερού μοχλού"
"GameUI_KeyNames_STICK2"	"κουμπί δεξιού μοχλού"
"GameUI_KeyNames_S1_UP"		"αριστερό stick"
"GameUI_KeyNames_S2_UP"		"δεξιός μοχλός"
"GameUI_KeyNames_LSTICK"	"αριστερός μοχλός"
"GameUI_KeyNames_RSTICK"	"δεξιός μοχλός"
"GameUI_KeyNames_A_BUTTON"	"Κουμπί A"
"GameUI_KeyNames_B_BUTTON"	"Κουμπί B"
"GameUI_KeyNames_X_BUTTON"	"Κουμπί X"
"GameUI_KeyNames_Y_BUTTON"	"Κουμπί Y"
"GameUI_KeyNames_L_SHOULDER"	"Αριστερό bumper"
"GameUI_KeyNames_R_SHOULDER"	"Δεξί bumper"
"GameUI_KeyNames_L_TRIGGER"	"Αριστερή σκανδάλη"
"GameUI_KeyNames_R_TRIGGER"	"Δεξιά σκανδάλη"

"GameUI_Game"			"ΠΑΙΧΝΙΔΙ" [$X360]
"GameUI_Controller"		"ΧΕΙΡΙΣΤΗΡΙΟ"
"GameUI_Buttons"		"ΚΟΥΜΠΙΑ"
"GameUI_RestoreDefaults"	"ΕΠΑΝΑΦΟΡΑ"

"GameUI_Accept"			"Αποδοχή"
"GameUI_Select"			"Επιλογή"
"GameUI_Refresh"		"Ανανέωση"
"GameUI_Sort"			"Ταξινόμηση"
"GameUI_ExitLobby"		"Έξοδος"
"GameUI_ChangeTeam"		"Αλλαγή ομάδας"
"GameUI_ChangeGameSettings"	"Αλλαγή ρυθμίσεων"
"GameUI_PlayerReview"		"Επισκόπηση παίκτη"
"GameUI_StartGame"		"Εκκίνηση παιχνιδιού"
"GameUI_StopCountdown"	"Ακύρωση αντίστροφης μέτρησης"
"GameUI_Console_FileCorrupt" "Η επιλεγμένη συσκευή αποθήκευσης περιέχει ένα αρχείο που είναι κατεστραμμένο ή που δεν μπορεί να ανοίξει. Επιλέξτε μια διαφορετική συσκευή αποθήκευσης ή διαγράψτε το κατεστραμμένο αρχείο."

"GameUI_AppChooser_SelectGame"	"ΕΠΙΛΟΓΗ ΠΑΙΧΝΙΔΙΟΥ:"

"GameUI_Yes"			"Ναι"
"GameUI_No"			"Όχι"

"GameUI_Console_QuitWarning"	"Θέλετε σίγουρα να αποχωρήσετε;\nΗ μη αποθηκευμένη πρόοδος θα χαθεί."
"GameUI_Console_StorageRemovedTitle"	"Η συσκευή αποθήκευσης αφαιρέθηκε"
"GameUI_Console_StorageRemovedBody"	"Δεν θα μπορείτε να αποθηκεύσετε την πρόοδό σας χωρίς συσκευή αποθήκευσης. Θέλετε να επιλέξετε μια άλλη συσκευή αποθήκευσης;"
"GameUI_Console_StorageNeededBody"	"Δεν θα μπορείτε να συνεχίσετε να παίζετε χωρίς συσκευή αποθήκευσης. Θέλετε να επιλέξετε μια άλλη συσκευή αποθήκευσης;"
"GameUI_Console_StorageChange"	"Αλλαγή συσκευής αποθήκευσης"
"GameUI_Console_StorageTooFullTitle"	"Η συσκευή αποθήκευσης είναι πλήρης"
"GameUI_Console_StorageTooFullBody"	"Η επιλεγμένη συσκευή αποθήκευσης δεν έχει αρκετό χώρο για τη δημιουργία νέων αποθηκευμένων παιχνιδιών. Θέλετε να επιλέξετε διαφορετική συσκευή αποθήκευσης;"

"GameUI_Console_NoStorageDeviceSelectedTitle" "Δεν επιλέχθηκε συσκευή αποθήκευσης"
"GameUI_Console_NoStorageDeviceSelectedBody" "Θέλετε να επιλέξετε μια συσκευή αποθήκευσης;\n\nΕπιλέγοντας «Όχι» θα μπορείτε να παίξετε το παιχνίδι, αλλά δεν θα μπορείτε να αποθηκεύσετε την πρόοδό σας."

"GameUI_Console_NoUserProfileSelectedTitle" "Δεν επιλέχθηκε προφίλ παίκτη"
"GameUI_Console_NoUserProfileSelectedBody" "Θέλετε να επιλέξετε ένα προφίλ παίκτη;\nΕπιλέγοντας «Όχι» θα μπορείτε να παίξετε το παιχνίδι, αλλά δεν θα μπορείτε να αποθηκεύετε την πρόοδό σας."
"GameUI_Console_UserProfileRequiredBody" "Αυτή η ενέργεια απαιτεί να είστε σε σύνδεση.\nΘέλετε να επιλέξετε ένα προφίλ παίκτη;"

"GameUI_Console_StorageDeviceRequiredBody" "Αυτή η δράση απαιτεί να επιλέξετε μια μονάδα αποθήκευσης.\nΘέλετε να επιλέξετε μια μονάδα αποθήκευσης;"

"GameUI_Achievement_Awarded"	"Το επίτευγμα ξεκλειδώθηκε"
"GameUI_Achievement_Progress"	"Πρόοδος επιτευγμάτων"
"GameUI_Achievement_Progress_Fmt" "%s1 (%s2/%s3)"
"GameUI_Achievement_Locked"			"Κλειδωμένο"
"GameUI_Achievement_Unlocked"		"Ξεκλειδωμένο"
"GameUI_Achievements_Title" "Τα επιτεύγματά μου"
"GameUI_Achievements_SteamRequired_Title"	"Απαιτείται σύνδεση στο Steam"
"GameUI_Achievements_SteamRequired_Message"	"Πρέπει να είστε σε σύνδεση στο Steam για να ξεκλειδώσετε ή να δείτε Επιτεύγματα."
"GameUI_Achievements_EnterGameToSeeProgress"	"Επιλέξτε ένα παιχνίδι για να δείτε την πρόοδο"
